task_id,task,framework,fold,task_type,type,acc,auc,logloss,score
146606,higgs,AutoCompBoost not tuned,1,binary,auc,0.691279959204488,0.75877659510078,,0.75877659510078
146606,higgs,AutoCompBoost not tuned,2,binary,auc,0.694645588985212,0.76236595119147,,0.76236595119147
146606,higgs,AutoCompBoost not tuned,3,binary,auc,0.691483936766956,0.762074838834205,,0.762074838834205
146606,higgs,AutoCompBoost not tuned,4,binary,auc,0.695257521672616,0.763784350412296,,0.763784350412296
146606,higgs,AutoCompBoost not tuned,5,binary,auc,0.692503824579296,0.763568703496177,,0.763568703496177
146606,higgs,AutoCompBoost not tuned,6,binary,auc,0.697807241203468,0.763822587457431,,0.763822587457431
146606,higgs,AutoCompBoost not tuned,7,binary,auc,0.700764915859256,0.763541194530299,,0.763541194530299
146606,higgs,AutoCompBoost not tuned,8,binary,auc,0.693319734829169,0.759214647827213,,0.759214647827213
146606,higgs,AutoCompBoost not tuned,9,binary,auc,0.678021417644059,0.744020097658081,,0.744020097658081
146606,higgs,AutoCompBoost not tuned,10,binary,auc,0.708822029576747,0.780087399198842,,0.780087399198842
146818,Australian,AutoCompBoost not tuned,1,binary,auc,0.855072463768116,0.932088285229202,,0.932088285229202
146818,Australian,AutoCompBoost not tuned,2,binary,auc,0.840579710144928,0.900679117147708,,0.900679117147708
146818,Australian,AutoCompBoost not tuned,3,binary,auc,0.826086956521739,0.910865874363328,,0.910865874363328
146818,Australian,AutoCompBoost not tuned,4,binary,auc,0.811594202898551,0.920203735144312,,0.920203735144312
146818,Australian,AutoCompBoost not tuned,5,binary,auc,0.811594202898551,0.930390492359932,,0.930390492359932
146818,Australian,AutoCompBoost not tuned,6,binary,auc,0.898550724637681,0.973684210526316,,0.973684210526316
146818,Australian,AutoCompBoost not tuned,7,binary,auc,0.811594202898551,0.902801358234295,,0.902801358234295
146818,Australian,AutoCompBoost not tuned,8,binary,auc,0.884057971014493,0.922222222222222,,0.922222222222222
146818,Australian,AutoCompBoost not tuned,9,binary,auc,0.898550724637681,0.965811965811966,,0.965811965811966
146818,Australian,AutoCompBoost not tuned,10,binary,auc,0.797101449275362,0.916239316239316,,0.916239316239316
167120,numerai28.6,AutoCompBoost not tuned,1,binary,auc,0.51391196013289,0.519943444686847,,0.519943444686847
167120,numerai28.6,AutoCompBoost not tuned,2,binary,auc,0.523878737541528,0.532209772953012,,0.532209772953012
167120,numerai28.6,AutoCompBoost not tuned,3,binary,auc,0.512666112956811,0.522388686543383,,0.522388686543383
167120,numerai28.6,AutoCompBoost not tuned,4,binary,auc,0.519310631229236,0.524786907673704,,0.524786907673704
167120,numerai28.6,AutoCompBoost not tuned,5,binary,auc,0.522840531561462,0.530512316744221,,0.530512316744221
167120,numerai28.6,AutoCompBoost not tuned,6,binary,auc,0.517441860465116,0.520365777663022,,0.520365777663022
167120,numerai28.6,AutoCompBoost not tuned,7,binary,auc,0.521802325581395,0.53193914146288,,0.53193914146288
167120,numerai28.6,AutoCompBoost not tuned,8,binary,auc,0.514950166112957,0.522455780507185,,0.522455780507185
167120,numerai28.6,AutoCompBoost not tuned,9,binary,auc,0.524294019933555,0.532462310526388,,0.532462310526388
167120,numerai28.6,AutoCompBoost not tuned,10,binary,auc,0.516507475083057,0.524899018410135,,0.524899018410135
168335,MiniBooNE,AutoCompBoost not tuned,1,binary,auc,0.905128007995695,0.961673393737895,,0.961673393737895
168335,MiniBooNE,AutoCompBoost not tuned,2,binary,auc,0.886445759975398,0.9474057514629,,0.9474057514629
168335,MiniBooNE,AutoCompBoost not tuned,3,binary,auc,0.878834473744907,0.939903932445272,,0.939903932445272
168335,MiniBooNE,AutoCompBoost not tuned,4,binary,auc,0.90781886676405,0.963021501739962,,0.963021501739962
168335,MiniBooNE,AutoCompBoost not tuned,5,binary,auc,0.896047977856374,0.95218480027922,,0.95218480027922
168335,MiniBooNE,AutoCompBoost not tuned,6,binary,auc,0.889128094725511,0.946203154374601,,0.946203154374601
168335,MiniBooNE,AutoCompBoost not tuned,7,binary,auc,0.910656620021529,0.964144289504355,,0.964144289504355
168335,MiniBooNE,AutoCompBoost not tuned,8,binary,auc,0.890588958942027,0.949128491276567,,0.949128491276567
168335,MiniBooNE,AutoCompBoost not tuned,9,binary,auc,0.909887744118099,0.964150219330354,,0.964150219330354
168335,MiniBooNE,AutoCompBoost not tuned,10,binary,auc,0.911963709057358,0.966744159487429,,0.966744159487429
168337,guillermo,AutoCompBoost not tuned,1,binary,auc,0.7135,0.757166666666667,,0.757166666666667
168337,guillermo,AutoCompBoost not tuned,2,binary,auc,0.686,0.715807291666667,,0.715807291666667
168337,guillermo,AutoCompBoost not tuned,3,binary,auc,0.7325,0.78608125,,0.78608125
168337,guillermo,AutoCompBoost not tuned,4,binary,auc,0.702,0.745753125,,0.745753125
168337,guillermo,AutoCompBoost not tuned,5,binary,auc,0.7055,0.760186458333333,,0.760186458333333
168337,guillermo,AutoCompBoost not tuned,6,binary,auc,0.698,0.752003125,,0.752003125
168337,guillermo,AutoCompBoost not tuned,7,binary,auc,0.7255,0.760131770833334,,0.760131770833334
168337,guillermo,AutoCompBoost not tuned,8,binary,auc,0.705,0.741574074941769,,0.741574074941769
168337,guillermo,AutoCompBoost not tuned,9,binary,auc,0.705,0.745128847489429,,0.745128847489429
168337,guillermo,AutoCompBoost not tuned,10,binary,auc,0.723,0.770562026824268,,0.770562026824268
168338,riccardo,AutoCompBoost not tuned,1,binary,auc,0.75,0.625032666666666,,0.625032666666666
168338,riccardo,AutoCompBoost not tuned,2,binary,auc,0.817,0.910425333333333,,0.910425333333333
168338,riccardo,AutoCompBoost not tuned,3,binary,auc,0.75,0.578828666666667,,0.578828666666667
168338,riccardo,AutoCompBoost not tuned,4,binary,auc,0.8085,0.908801333333333,,0.908801333333333
168338,riccardo,AutoCompBoost not tuned,5,binary,auc,0.815,0.906406666666667,,0.906406666666667
168338,riccardo,AutoCompBoost not tuned,6,binary,auc,0.8065,0.911052,,0.911052
168338,riccardo,AutoCompBoost not tuned,7,binary,auc,0.812,0.901810666666667,,0.901810666666667
168338,riccardo,AutoCompBoost not tuned,8,binary,auc,0.813,0.908704,,0.908704
168338,riccardo,AutoCompBoost not tuned,9,binary,auc,0.819,0.898176,,0.898176
168338,riccardo,AutoCompBoost not tuned,10,binary,auc,0.816,0.917121333333333,,0.917121333333333
168908,christine,AutoCompBoost not tuned,1,binary,auc,0.710332103321033,0.793834506610749,,0.793834506610749
168908,christine,AutoCompBoost not tuned,2,binary,auc,0.739852398523985,0.79497828188614,,0.79497828188614
168908,christine,AutoCompBoost not tuned,3,binary,auc,0.747232472324723,0.808485723233616,,0.808485723233616
168908,christine,AutoCompBoost not tuned,4,binary,auc,0.697416974169742,0.782764395909642,,0.782764395909642
168908,christine,AutoCompBoost not tuned,5,binary,auc,0.710332103321033,0.794542557971705,,0.794542557971705
168908,christine,AutoCompBoost not tuned,6,binary,auc,0.732472324723247,0.8013779768794,,0.8013779768794
168908,christine,AutoCompBoost not tuned,7,binary,auc,0.723247232472325,0.798927029860705,,0.798927029860705
168908,christine,AutoCompBoost not tuned,8,binary,auc,0.730627306273063,0.805299492109312,,0.805299492109312
168908,christine,AutoCompBoost not tuned,9,binary,auc,0.726432532347505,0.801353013530135,,0.801353013530135
168908,christine,AutoCompBoost not tuned,10,binary,auc,0.680221811460259,0.751810851441848,,0.751810851441848
168911,jasmine,AutoCompBoost not tuned,1,binary,auc,0.779264214046823,0.847829977628635,,0.847829977628635
168911,jasmine,AutoCompBoost not tuned,2,binary,auc,0.765886287625418,0.855257270693512,,0.855257270693512
168911,jasmine,AutoCompBoost not tuned,3,binary,auc,0.822742474916388,0.874362416107383,,0.874362416107383
168911,jasmine,AutoCompBoost not tuned,4,binary,auc,0.775919732441472,0.811677852348993,,0.811677852348993
168911,jasmine,AutoCompBoost not tuned,5,binary,auc,0.812080536912752,0.846718616278546,,0.846718616278546
168911,jasmine,AutoCompBoost not tuned,6,binary,auc,0.778523489932886,0.828386108733841,,0.828386108733841
168911,jasmine,AutoCompBoost not tuned,7,binary,auc,0.785234899328859,0.820503580919778,,0.820503580919778
168911,jasmine,AutoCompBoost not tuned,8,binary,auc,0.751677852348993,0.819377505517769,,0.819377505517769
168911,jasmine,AutoCompBoost not tuned,9,binary,auc,0.815436241610738,0.860726994279537,,0.860726994279537
168911,jasmine,AutoCompBoost not tuned,10,binary,auc,0.808724832214765,0.866402414305662,,0.866402414305662
168912,sylvine,AutoCompBoost not tuned,1,binary,auc,0.933723196881092,0.974920963035019,,0.974920963035019
168912,sylvine,AutoCompBoost not tuned,2,binary,auc,0.947368421052632,0.978918409533074,,0.978918409533074
168912,sylvine,AutoCompBoost not tuned,3,binary,auc,0.937621832358674,0.971029912451362,,0.971029912451362
168912,sylvine,AutoCompBoost not tuned,4,binary,auc,0.927875243664717,0.967123662451362,,0.967123662451362
168912,sylvine,AutoCompBoost not tuned,5,binary,auc,0.921875,0.97271728515625,,0.97271728515625
168912,sylvine,AutoCompBoost not tuned,6,binary,auc,0.927734375,0.96746826171875,,0.96746826171875
168912,sylvine,AutoCompBoost not tuned,7,binary,auc,0.923828125,0.969558715820312,,0.969558715820312
168912,sylvine,AutoCompBoost not tuned,8,binary,auc,0.943359375,0.97906494140625,,0.97906494140625
168912,sylvine,AutoCompBoost not tuned,9,binary,auc,0.921875,0.971328735351562,,0.971328735351562
168912,sylvine,AutoCompBoost not tuned,10,binary,auc,0.9375,0.983810424804688,,0.983810424804688
189354,airlines,AutoCompBoost not tuned,1,binary,auc,0.63681195424461,0.675282311166542,,0.675282311166542
189354,airlines,AutoCompBoost not tuned,2,binary,auc,0.63840634791153,0.6757158702277,,0.6757158702277
189354,airlines,AutoCompBoost not tuned,3,binary,auc,0.635625428725041,0.670502335631308,,0.670502335631308
189354,airlines,AutoCompBoost not tuned,4,binary,auc,0.636063628610627,0.67232789241516,,0.67232789241516
189354,airlines,AutoCompBoost not tuned,5,binary,auc,0.63610070822055,0.669651906253738,,0.669651906253738
189354,airlines,AutoCompBoost not tuned,6,binary,auc,0.635377655827061,0.670407092553763,,0.670407092553763
189354,airlines,AutoCompBoost not tuned,7,binary,auc,0.635247877192332,0.672365112780001,,0.672365112780001
189354,airlines,AutoCompBoost not tuned,8,binary,auc,0.633060180206904,0.667346561818438,,0.667346561818438
189354,airlines,AutoCompBoost not tuned,9,binary,auc,0.636415884904891,0.671453681374464,,0.671453681374464
189354,airlines,AutoCompBoost not tuned,10,binary,auc,0.637991768326597,0.675221085716568,,0.675221085716568
189356,albert,AutoCompBoost not tuned,1,binary,auc,0.665294892296115,0.724968394681276,,0.724968394681276
189356,albert,AutoCompBoost not tuned,2,binary,auc,0.664589408334117,0.722790735818113,,0.722790735818113
189356,albert,AutoCompBoost not tuned,3,binary,auc,0.671879409274763,0.729264095882785,,0.729264095882785
189356,albert,AutoCompBoost not tuned,4,binary,auc,0.66705860220111,0.724871573958808,,0.724871573958808
189356,albert,AutoCompBoost not tuned,5,binary,auc,0.66609444078638,0.725345882685173,,0.725345882685173
189356,albert,AutoCompBoost not tuned,6,binary,auc,0.649209857962562,0.699943502885346,,0.699943502885346
189356,albert,AutoCompBoost not tuned,7,binary,auc,0.668493086257172,0.724856333045448,,0.724856333045448
189356,albert,AutoCompBoost not tuned,8,binary,auc,0.669222086351237,0.729527646446132,,0.729527646446132
189356,albert,AutoCompBoost not tuned,9,binary,auc,0.660803311071395,0.722227328579519,,0.722227328579519
189356,albert,AutoCompBoost not tuned,10,binary,auc,0.650432696830025,0.700357754892154,,0.700357754892154
31,credit-g,AutoCompBoost Deep not tuned,1,binary,auc,0.75,0.772380952380952,,0.772380952380952
31,credit-g,AutoCompBoost Deep not tuned,2,binary,auc,0.69,0.724761904761905,,0.724761904761905
31,credit-g,AutoCompBoost Deep not tuned,3,binary,auc,0.71,0.691428571428571,,0.691428571428571
31,credit-g,AutoCompBoost Deep not tuned,4,binary,auc,0.78,0.776190476190476,,0.776190476190476
31,credit-g,AutoCompBoost Deep not tuned,5,binary,auc,0.7,0.726666666666667,,0.726666666666667
31,credit-g,AutoCompBoost Deep not tuned,6,binary,auc,0.75,0.81,,0.81
31,credit-g,AutoCompBoost Deep not tuned,7,binary,auc,0.78,0.809047619047619,,0.809047619047619
31,credit-g,AutoCompBoost Deep not tuned,8,binary,auc,0.75,0.805714285714286,,0.805714285714286
31,credit-g,AutoCompBoost Deep not tuned,9,binary,auc,0.77,0.77047619047619,,0.77047619047619
31,credit-g,AutoCompBoost Deep not tuned,10,binary,auc,0.74,0.713809523809524,,0.713809523809524
3917,kc1,AutoCompBoost Deep not tuned,1,binary,auc,0.838862559241706,0.795740223463687,,0.795740223463687
3917,kc1,AutoCompBoost Deep not tuned,2,binary,auc,0.867298578199052,0.791812150837989,,0.791812150837989
3917,kc1,AutoCompBoost Deep not tuned,3,binary,auc,0.85781990521327,0.807611731843576,,0.807611731843576
3917,kc1,AutoCompBoost Deep not tuned,4,binary,auc,0.862559241706161,0.805669050051072,,0.805669050051072
3917,kc1,AutoCompBoost Deep not tuned,5,binary,auc,0.862559241706161,0.727357848144365,,0.727357848144365
3917,kc1,AutoCompBoost Deep not tuned,6,binary,auc,0.838862559241706,0.787453183520599,,0.787453183520599
3917,kc1,AutoCompBoost Deep not tuned,7,binary,auc,0.862559241706161,0.791113381001021,,0.791113381001021
3917,kc1,AutoCompBoost Deep not tuned,8,binary,auc,0.843601895734597,0.824140279196459,,0.824140279196459
3917,kc1,AutoCompBoost Deep not tuned,9,binary,auc,0.876777251184834,0.853506979911474,,0.853506979911474
